"Timestamp","1. What is your musical taste? Select any genre or singer or group that you enjoy. ","2. How do you listen to music?","3. What is your film taste? Select any movie that you enjoyed watching.","4. What is your TV shows taste? Select any TV series that you enjoyed watching.","5. What are your TV viewing habits?","6. Which of the following social media apps do you regularly use? ","7. How many hours a week do you spend on your smart phone?","8. What is your preferred payment method in shops for amounts less than £20?","9. How old are you?"
"2019/06/13 8:53:02 PM GMT+1","Classical music;Pop music;The Beatles","I mostly use Spotify or another music streaming service","Start Wars series;Harry Potter series;Love Actually;Toy Stories series;Back to the Future","Friends","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;Twitter;WhatsApp;Skype;LinkedIn","Between 2 and 5 hours","I mostly use cash","45"
"2019/06/13 8:57:31 PM GMT+1","Pop music;Ed Sheeran","I mostly listen to the radio","Start Wars series;Toy Stories series;Back to the Future","Friends;Doctor Who;Peppa Pig","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","I don't use any social media app","I don't own a smart phone","I mostly use cash","9"
"2019/06/13 9:01:09 PM GMT+1","Classical music;Punk Rock music;Folk music;The Beatles;The Rolling Stones;David Bowie","I mostly listen to the radio","Harry Potter series;Love Actually;Toy Stories series;2001 Space Odyssey;Apocalypse Now","Friends;Only Fools and Horses;Doctor Who;Fawlty Towers;Gavin and Stacey;The Thick of It;The Inbetweeners","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype","More than 10 hours","I mostly use cards","46"
"2019/06/13 9:18:40 PM GMT+1","Billie Heilish;5 Seconds of Summer","I mostly use Spotify or another music streaming service","Harry Potter series;Toy Stories series;Back to the Future","Peppa Pig","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","WhatsApp;Pinterest","Between 20 and 30 hours","I mostly use cards","12"
"2019/06/14 9:18:56 PM GMT+1","Pop music;Ed Sheeran;David Bowie","I mostly use the internet","Start Wars series;Back to the Future","Doctor Who;Game of Thrones","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Snapchat;Skype","Between 20 and 30 hours","I mostly use cash","15"
"2019/06/14 9:20:12 PM GMT+1","Classical music;The Beatles;The Rolling Stones;David Bowie","I mostly listen to the radio","It's a Wonderful Life;Start Wars series;Love Actually;2001 Space Odyssey","Doctor Who;Downtown Abbey;The Thick of It","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Twitter;WhatsApp;Skype;LinkedIn","Between 5 and 10 hours","I mostly use cards","50"
"2019/06/14 9:21:23 PM GMT+1","Pop music;Ed Sheeran;The Beatles;Billie Eilish;The Rolling Stones;David Bowie;5 Seconds of Summer","I mostly use Spotify or another music streaming service","Start Wars series;Harry Potter series;Love Actually;Toy Stories series;Back to the Future","Friends;Doctor Who;Downtown Abbey;Gavin and Stacey;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;Pinterest;Snapchat;Skype","Between 20 and 30 hours","I mostly use cards","17"
"2019/06/14 9:22:27 PM GMT+1","Classical music;Folk music;The Beatles;The Rolling Stones","I mostly listen to the radio","It's a Wonderful Life;Start Wars series;2001 Space Odyssey","The Thick of It","I only watch live TV","Skype","Less than 2 hours","I mostly use cash","60"
"2019/06/14 9:23:42 PM GMT+1","Classical music;Punk Rock music;Folk music;The Beatles;The Rolling Stones;David Bowie","I mostly use Spotify or another music streaming service","Start Wars series;2001 Space Odyssey;Apocalypse Now","Downtown Abbey;The Thick of It","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","Facebook;WhatsApp;Skype","Between 5 and 10 hours","I mostly use cash","46"
"2019/06/14 9:24:37 PM GMT+1","Pop music","I mostly listen to the radio","Love Actually","Downtown Abbey;Gavin and Stacey","I only watch live TV","I don't use any social media app","I don't own a smart phone","I mostly use cash","75"
"2019/06/14 9:25:38 PM GMT+1","Punk Rock music;Pop music;The Beatles;The Rolling Stones;David Bowie","I mostly use Spotify or another music streaming service","Start Wars series;Harry Potter series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Doctor Who;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Skype;LinkedIn","Between 10 and 20 hours","I mostly use cards","42"
"2019/06/14 9:26:39 PM GMT+1","Punk Rock music;Pop music;Ed Sheeran","I mostly use the internet","Start Wars series","Doctor Who;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;Snapchat;Skype","Between 10 and 20 hours","I mostly use cards","17"
"2019/06/14 9:27:39 PM GMT+1","Pop music;Ed Sheeran;Billie Eilish;David Bowie;5 Seconds of Summer","I mostly use the internet","Harry Potter series;Toy Stories series","Friends;The Next Step","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","WhatsApp;Pinterest","Between 20 and 30 hours","I mostly use cash","13"
"2019/06/14 9:33:42 PM GMT+1","Classical music;Folk music;Pop music;Ed Sheeran","I mostly listen to the radio","It's a Wonderful Life;Love Actually;Casablanca","Downtown Abbey;Gavin and Stacey","I mostly watch recorded programs on my TV","Facebook;WhatsApp","Between 5 and 10 hours","I mostly use cash","46"
"2019/06/14 9:34:41 PM GMT+1","Pop music;Ed Sheeran;Billie Eilish;5 Seconds of Summer","I mostly use the internet","Harry Potter series","Friends","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram;Snapchat","More than 30 hours","I mostly use cards","17"
"2019/06/14 9:35:41 PM GMT+1","Punk Rock music;The Rolling Stones","I mostly listen to the radio","Start Wars series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Doctor Who;Game of Thrones;The Inbetweeners","I sometimes watch live TV (eg news or sports) and sometimes watch recorded programs","WhatsApp","Between 5 and 10 hours","I mostly use cash","39"
"2019/06/14 9:36:45 PM GMT+1","Pop music;Ed Sheeran;David Bowie;5 Seconds of Summer","I mostly use the internet","Start Wars series;Harry Potter series;Toy Stories series;Back to the Future","Doctor Who;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp","Between 5 and 10 hours","I mostly use cash","13"
